obs. type,parameter,value,upper error,lower error,journal,lead author,month,year,num cites,reference,arXiv,Notes
Clusters,w_0,-0.42,0.21,0,ApJ,Henry,7,2004,78,http://adsabs.harvard.edu/abs/2004ApJ...609..603H,astro-ph/0404142,
Clusters,Sigma_8,0.66,0.16,0,ApJ,Henry,7,2004,78,http://adsabs.harvard.edu/abs/2004ApJ...609..603H,astro-ph/0404142,
Clusters,Sigma_8,0.85,0.04,-0.02,ApJ,Henry,2,2009,24,http://adsabs.harvard.edu/abs/2009ApJ...691.1307H,0809.3832,More than one parameter actually given
Clusters,H_0,71,30,-25,ApJ,Herbig,8,1995,101,http://adsabs.harvard.edu/abs/1995ApJ...449L...5H,,
SN,H_0,67,4.5,0,ApJ,Hoeflich,2,1996,252,http://adsabs.harvard.edu/abs/1996ApJ...457..500H,astro-ph/9602025,
lensing,Omega_M,0.13,0.07,0,ApJ,Hoekstra,2,2001,48,http://adsabs.harvard.edu/abs/2001ApJ...548L...5H,astro-ph/0012169,
lensing,Sigma_8,0.86,0.09,-0.13,ApJ,Hoekstra,10,2002,144,http://adsabs.harvard.edu/abs/2002ApJ...577..595H,astro-ph/0204295,"I think this is it, but value is parameterised"
Clusters,H_0,78,60,-40,ApJ,Holzapfel,5,1997,83,http://adsabs.harvard.edu/abs/1997ApJ...480..449H,astro-ph/9702224,
Clusters,Omega_M,0.175,0.025,0,ApJ,Hradecky,11,2000,34,http://adsabs.harvard.edu/abs/2000ApJ...543..521H,astro-ph/0006397,
combined,Omega_M,0.425,0.175,0,ApJ,Hu,3,2001,174,http://adsabs.harvard.edu/abs/2001ApJ...549..669H,astro-ph/0006436,"I think this is it, but can’t find values"
combined,H_0,75,15,0,ApJ,Hu,3,2001,174,http://adsabs.harvard.edu/abs/2001ApJ...549..669H,astro-ph/0006436,"I think this is it, but can’t find values"
CMB,Omega_baryon,0.036,0,-0.018,ApJ,Hu,3,2001,182,http://adsabs.harvard.edu/abs/2001ApJ...549..669H,astro-ph/0006436,"I think this is it, but can’t find values"
CMB,Omega_M,0.792,0,-0.396,ApJ,Hu,3,2001,182,http://adsabs.harvard.edu/abs/2001ApJ...549..669H,astro-ph/0006436,"I think this is it, but can’t find values"
Clusters,H_0,51.5,12.5,0,ApJ,Hughes,7,1998,95,http://adsabs.harvard.edu/abs/1998ApJ...501....1H,astro-ph/9801183,
CMB,H_0,47,23,-15,ApJ,Hughes,7,1998,96,http://adsabs.harvard.edu/abs/1998ApJ...501....1H,astro-ph/9801183,
LSS,Omega_baryon,0.06,0.02,0,ApJ,Hui,1,2002,25,http://adsabs.harvard.edu/abs/2002ApJ...564..525H,astro-ph/0104442,"I think this is it, but value is parameterised"
LSS,Omega_M,0.375,0.087,0,ApJ,Huterer,7,2001,13,http://adsabs.harvard.edu/abs/2001ApJ...555..547H,astro-ph/0011069,
lensing,Omega_Lambda,0.64,0.15,-0.26,ApJ,Im,2,1997,36,http://adsabs.harvard.edu/abs/1997ApJ...475..457I,astro-ph/9611105,
