obs. type,parameter,value,upper error,lower error,journal,lead author,month,year,num cites,reference,arXiv,Notes
Clusters,Sigma_8,1.02,0.07,-0.076,MNRAS,Pierpaoli,7,2001,151,http://adsabs.harvard.edu/abs/2001MNRAS.325...77P,astro-ph/0010039,"I think this is it, but can’t find values"
Clusters,Sigma_8,0.77,0.05,0,MNRAS,Pierpaoli,6,2003,110,http://adsabs.harvard.edu/abs/2003MNRAS.342..163P,astro-ph/0210567,
lensing,H_0,66,10,0,MNRAS,Pijpers,8,1997,20,http://adsabs.harvard.edu/abs/1997MNRAS.289..933P,,
pec vels,Beta,0,0,0,MNRAS,Plionis,3,1993,17,,,
combined,m_nu,0,0,0,MNRAS,Pogosyan,11,1993,35,http://adsabs.harvard.edu/abs/1993MNRAS.265..507P,,"I think this is it, but can’t find parameters"
pec vels,Beta,0.55,0.06,0,MNRAS,RadburnSmi,12,2004,24,,,
combined,w_0,-1.05,0.1,-0.12,MNRAS,Rapetti,6,2005,81,http://adsabs.harvard.edu/abs/2005MNRAS.360..555R,astro-ph/0409574,Multiple values given
combined,Omega_M,0.306,0.042,-0.04,MNRAS,Rapetti,3,2007,41,http://adsabs.harvard.edu/abs/2007MNRAS.375.1510R,astro-ph/0605683,
combined,w_0,-1.15,0.014,-0.18,MNRAS,Rapetti,3,2007,41,http://adsabs.harvard.edu/abs/2007MNRAS.375.1510R,astro-ph/0605683,
z distort,Beta,0.55,0.12,0,MNRAS,Ratcliffe,8,1996,46,http://adsabs.harvard.edu/abs/1996MNRAS.281L..47R,,
CMB,H_0,73,8,-0.05,MNRAS,Rebolo,9,2004,79,http://adsabs.harvard.edu/abs/2004MNRAS.353..747R,astro-ph/0402466,Little h
CMB,Omega_baryon,0.047,0.002,-0.003,MNRAS,Rebolo,9,2004,79,http://adsabs.harvard.edu/abs/2004MNRAS.353..747R,astro-ph/0402466,
CMB,n,0.97,0.06,-0.03,MNRAS,Rebolo,9,2004,79,http://adsabs.harvard.edu/abs/2004MNRAS.353..747R,astro-ph/0402466,
combined,Omega_M,0.3,0.15,0,MNRAS,Ross,10,2007,69,http://adsabs.harvard.edu/abs/2007MNRAS.381..573R,astro-ph/0612400,Lots of numbers given for different things in abstract
pec vels,Omega_M,0.7,0.3,-0.2,MNRAS,Rowan-Rob,11,1990,176,,,
pec vels,Omega_M,0.18,0.05,0,MNRAS,Rubano,9,2002,12,http://adsabs.harvard.edu/abs/2002MNRAS.335...30R,astro-ph/0203205,
combined,Omega_M,0.28,0.14,-0.07,MNRAS,Rubino,6,2003,56,,,
combined,Omega_Lambda,0.72,0.07,-0.13,MNRAS,Rubino,6,2003,56,,,
combined,n,1.04,0.11,-0.08,MNRAS,Rubino,6,2003,56,,,
combined,Omega_baryon,0.058,0.018,0,MNRAS,Rubino,6,2003,56,,,
LSS,Omega_M,0.237,0.02,0,MNRAS,Sanchez,2,2006,139,http://adsabs.harvard.edu/abs/2006MNRAS.366..189S,astro-ph/0507583,
LSS,Omega_baryon,0.041,0.002,0,MNRAS,Sanchez,2,2006,139,http://adsabs.harvard.edu/abs/2006MNRAS.366..189S,astro-ph/0507583,
LSS,H_0,74,2,0,MNRAS,Sanchez,2,2006,139,http://adsabs.harvard.edu/abs/2006MNRAS.366..189S,astro-ph/0507583,
LSS,Sigma_8,0.77,0.05,0,MNRAS,Sanchez,2,2006,139,http://adsabs.harvard.edu/abs/2006MNRAS.366..189S,astro-ph/0507583,
LSS,n,0.954,0.002,0,MNRAS,Sanchez,2,2006,139,http://adsabs.harvard.edu/abs/2006MNRAS.366..189S,astro-ph/0507583,
LSS,w_0,-0.85,0.18,-0.17,MNRAS,Sanchez,2,2006,139,http://adsabs.harvard.edu/abs/2006MNRAS.366..189S,astro-ph/0507583,
LSS,m_nu,0,0,0,MNRAS,Sanchez,2,2006,139,http://adsabs.harvard.edu/abs/2006MNRAS.366..189S,astro-ph/0507583,
Clusters,Omega_M,0,0,0,MNRAS,Sanderson,11,2003,44,http://adsabs.harvard.edu/abs/2003MNRAS.345.1241S,astro-ph/0307457,Constrained value → zero
Clusters,H_0,85,20,-17,MNRAS,Saunders,5,2003,24,http://adsabs.harvard.edu/abs/2003MNRAS.341..937S,astro-ph/9904168,
Clusters,H_0,69,8,0,MNRAS,Schmidt,8,2004,29,http://adsabs.harvard.edu/abs/2004MNRAS.352.1413S,astro-ph/0405374,
other,Omega_M,0.4,0.09,0,MNRAS,Schmidt,11,2001,98,http://adsabs.harvard.edu/abs/2001MNRAS.327.1057S,astro-ph/0107311,
z distort,Beta,0.7,0.35,-0.2,MNRAS,Schmoldt,4,1999,37,http://adsabs.harvard.edu/abs/1999MNRAS.304..893S,astro-ph/9901087,
LSS,Omega_M,0.22,0.16,0,MNRAS,Schuecker,9,2002,14,http://adsabs.harvard.edu/abs/2002MNRAS.335..807S,astro-ph/0205342,Range and parameterised
LSS,Omega_M,0.15,0.05,0,MNRAS,Seljak,12,2002,10,http://adsabs.harvard.edu/abs/2002MNRAS.337..774S,astro-ph/0203117,
lensing,w_0,-0.84,0.14,0,MNRAS,Sereno,11,2004,5,http://adsabs.harvard.edu/abs/2004MNRAS.354.1255S,astro-ph/0409119,
lensing,Omega_M,0,0,0,MNRAS,Sereno,11,2004,5,http://adsabs.harvard.edu/abs/2004MNRAS.354.1255S,astro-ph/0409119,
lensing,Omega_M,0.31,0.12,-0.14,MNRAS,Sereno,1,2005,4,http://adsabs.harvard.edu/abs/2005MNRAS.356..937S,astro-ph/0410441,
SN,Omega_M,0.276,0.023,0,MNRAS,Shafieloo,10,2007,24,http://adsabs.harvard.edu/abs/2007MNRAS.380.1573S,astro-ph/0703034,
other,H_0,69,8,0,MNRAS,Shanks,10,1997,29,http://adsabs.harvard.edu/abs/1997MNRAS.290L..77S,,Multiple values given
other,Omega_Lambda,0.79,0.12,-0.3,MNRAS,Siegel,1,2005,7,http://adsabs.harvard.edu/abs/2005MNRAS.356.1117S,astro-ph/0410612,Implicit in abstract
CMB,H_0,72,15,-13,MNRAS,Slosar,6,2003,40,http://adsabs.harvard.edu/abs/2003MNRAS.341L..29S,astro-ph/0212497,Little h
CMB,Sigma_8,1.17,0.25,-0.3,MNRAS,Slosar,6,2003,40,http://adsabs.harvard.edu/abs/2003MNRAS.341L..29S,astro-ph/0212497,
CMB,n,1.07,0.06,0,MNRAS,Slosar,6,2003,40,http://adsabs.harvard.edu/abs/2003MNRAS.341L..29S,astro-ph/0212497,
CMB,w_0,-1.06,0.2,-0.25,MNRAS,Slosar,6,2003,40,http://adsabs.harvard.edu/abs/2003MNRAS.341L..29S,astro-ph/0212497,
z distort,Beta,0.47,0.16,0,MNRAS,Tadros,5,1999,58,http://adsabs.harvard.edu/abs/1999MNRAS.305..527T,astro-ph/9901351,
z distort,Sigma_8,0.7,0.05,0,MNRAS,Taylor,10,1996,52,http://adsabs.harvard.edu/abs/1996MNRAS.282..767T,astro-ph/9604020,
z distort,Beta,0.49,0.16,0,MNRAS,Tegmark,10,2002,140,http://adsabs.harvard.edu/abs/2002MNRAS.335..887T,astro-ph/0111575,
lensing,H_0,56,23,0,MNRAS,Tortora,10,2004,9,http://adsabs.harvard.edu/abs/2004MNRAS.354..343T,astro-ph/0407134,
lensing,H_0,59,12,-7,MNRAS,Treu,12,2002,64,http://adsabs.harvard.edu/abs/2002MNRAS.337L...6T,astro-ph/0210002,
LSS,Beta,0.55,0.1,0,MNRAS,Valentine,12,2000,13,http://adsabs.harvard.edu/abs/2000MNRAS.319L..13V,,
Clusters,Omega_M,0.75,0.3,0,MNRAS,Viana,3,1999,211,http://adsabs.harvard.edu/abs/1999MNRAS.303..535V,astro-ph/9803244,
Clusters,Sigma_8,0.78,0.15,-0.03,MNRAS,Viana,11,2003,29,http://adsabs.harvard.edu/abs/2003MNRAS.346..319V,astro-ph/0211090,
LSS,Sigma_8,0.94,0.08,0,MNRAS,Viel,12,2004,42,http://adsabs.harvard.edu/abs/2004MNRAS.355L..23V,astro-ph/0407294,
LSS,n,0.99,0.03,0,MNRAS,Viel,12,2004,42,http://adsabs.harvard.edu/abs/2004MNRAS.355L..23V,astro-ph/0407294,
LSS,Omega_M,0.28,0.03,0,MNRAS,Viel,1,2006,65,http://adsabs.harvard.edu/abs/2006MNRAS.365..231V,astro-ph/0508177,
LSS,Sigma_8,0.91,0.07,0,MNRAS,Viel,1,2006,65,http://adsabs.harvard.edu/abs/2006MNRAS.365..231V,astro-ph/0508177,
LSS,n,0.95,0.04,0,MNRAS,Viel,1,2006,65,http://adsabs.harvard.edu/abs/2006MNRAS.365..231V,astro-ph/0508177,
ISW,Omega_Lambda,0.73,0.11,-0.14,MNRAS,Vielva,1,2006,42,http://adsabs.harvard.edu/abs/2006MNRAS.365..891V,astro-ph/0408252,
ISW,w_0,-0.75,0.32,-0.41,MNRAS,Vielva,1,2006,42,http://adsabs.harvard.edu/abs/2006MNRAS.365..891V,astro-ph/0408252,
other,Omega_M,0.29,0.03,0,MNRAS,Wang,5,2006,18,http://adsabs.harvard.edu/abs/2006MNRAS.368..371W,astro-ph/0512279,
pec vels,Gamma,0.13,0.09,-0.05,MNRAS,Watkins,7,2007,16,http://adsabs.harvard.edu/abs/2007MNRAS.379..343W,astro-ph/0702751,
Clusters,Sigma_8,1.42,0.17,0,MNRAS,White,6,1993,529,http://adsabs.harvard.edu/abs/1993MNRAS.262.1023W,,Range data in abstract
Clusters,Omega_M,0,0,0,MNRAS,White,8,1994,52,http://adsabs.harvard.edu/abs/1994MNRAS.269..589W,,Constrained value → zero
Clusters,n,0.84,0.325,0,MNRAS,Wu,10,2001,18,http://adsabs.harvard.edu/abs/2001MNRAS.327..629W,astro-ph/0012207,
Clusters,Gamma,0.27,0.21,-0.08,MNRAS,Wu,10,2001,18,http://adsabs.harvard.edu/abs/2001MNRAS.327..629W,astro-ph/0012207,
Clusters,Omega_M,0.35,0.09,0,MNRAS,Wu,2,2000,12,http://adsabs.harvard.edu/abs/2000MNRAS.311..825W,astro-ph/9909205,
lensing,H_0,78,3,0,MNRAS,Wucknitz,3,2004,27,http://adsabs.harvard.edu/abs/2004MNRAS.349...14W,astro-ph/0312263,
lensing,H_0,70,5,0,MNRAS,York,2,2005,36,http://adsabs.harvard.edu/abs/2005MNRAS.357..124Y,astro-ph/0405115,
pec vels,Omega_M*H_0,0.88,0.15,0,MNRAS,Zaroubi,9,1997,55,http://adsabs.harvard.edu/abs/1997ApJ...486...21Z,astro-ph/9610226,Actually APJ? Correct parameter?
pec vels,Omega_M*H_0,1,0.25,0,MNRAS,Zaroubi,9,2001,23,http://adsabs.harvard.edu/abs/2001MNRAS.326..375Z,astro-ph/0005558,"I think this is it, but can’t find parameters"
pec vels,Beta,0.51,0.06,0,MNRAS,Zaroubi,11,2002,18,http://adsabs.harvard.edu/abs/2002MNRAS.336.1234Z,astro-ph/0207356,
LSS,Omega_M,0.25,0.09,-0.07,MNRAS,daAangela,1,2008,70,,,
combined,Beta,0.6,0.1,0,MNRAS,daCosta,9,1998,62,http://adsabs.harvard.edu/abs/1998MNRAS.299..425D,astro-ph/9707299,
Clusters,H_0,62,6,0,MNRAS,dellaValle,8,1998,28,http://adsabs.harvard.edu/abs/1998MNRAS.299..267D,astro-ph/9805024,
SN,H_0,62,6,0,MNRAS,dellavalle,8,1998,28,http://adsabs.harvard.edu/abs/1998MNRAS.299..267D,astro-ph/9805024,
other,H_0,76,8,0,MNRAS,vanLeeuwen,8,2007,76,,,
LSS,Omega_M,0.24,0.035,0,MNRAS,vandenBosc,11,2003,79,,,
LSS,Sigma_8,0.74,0.065,-0.1,MNRAS,vandenBosc,11,2003,79,,,
other,Omega_baryon,0.057,0.034,-0.019,Phys.Rev.D,Balbi,9,2001,114,http://adsabs.harvard.edu/abs/2001ApJ...558L.145B,astro-ph/0005124,"Is this right? Parameterised value, and possible APJ"
LSS,Sigma_8,0.83,0.11,-0.16,Phys.Rev.D,Basilakos,5,2010,1,http://adsabs.harvard.edu/abs/2010ApJ...714L.185B,1003.2559,Actually APJ?
LSS,w_0,-0.9,0.1,-0.16,Phys.Rev.D,Basilakos,5,2010,1,http://adsabs.harvard.edu/abs/2010ApJ...714L.185B,1003.2559,Actually APJ?
LSS,Omega_M,0.24,0.06,0,Phys.Rev.D,Basilakos,5,2010,1,http://adsabs.harvard.edu/abs/2010ApJ...714L.185B,1003.2559,Actually APJ?
other,H_0,84,26,0,Phys.Rev.D,Battistell,12,2003,19,,,
CMB,Sigma_8,1.34,0.1,0,Phys.Rev.D,Bunn,3,1995,70,http://adsabs.harvard.edu/abs/1995ApJ...441L...9B,astro-ph/9409003,Actually APJ?
LSS,Omega_baryon,0.041,0.003,0,Phys.Rev.D,Fosalba,12,2004,14,http://adsabs.harvard.edu/abs/2004ApJ...617L..95F,astro-ph/0405589,Actually APJ? Parameterized value?
SN,H_0,73,2,0,Phys.Rev.D,Gibson,2,2001,32,http://adsabs.harvard.edu/abs/2001ApJ...547L.103G,astro-ph/0011478,Actually APJ?
lensing,H_0,71,4,0,Phys.Rev.D,Hjorth,6,2002,46,http://adsabs.harvard.edu/abs/2002ApJ...572L..11H,astro-ph/0205124,Actually APJ?
combined,H_0,61.7,1.2,-1.1,Phys.Rev.D,Leith,1,2008,36,http://adsabs.harvard.edu/abs/2008ApJ...672L..91L,0709.2535,Actually APJ?
Clusters,H_0,66,14,-11,Phys.Rev.D,Mason,7,2001,65,http://adsabs.harvard.edu/abs/2001ApJ...555L..11M,,Actually APJ?
SN,H_0,74.92,2.28,0,Phys.Rev.D,Ngeow,5,2006,15,http://adsabs.harvard.edu/abs/2006ApJ...642L..29N,astro-ph/0603643,Actually APJ?
Clusters,Sigma_8,0.75,0.05,0,Phys.Rev.D,Smith,6,2003,39,http://adsabs.harvard.edu/abs/2003ApJ...590L..79S,astro-ph/0211186,Actually APJ?
Clusters,H_0,78,11,0,Phys.Rev.D,Whitmore,12,1995,137,http://adsabs.harvard.edu/abs/1995ApJ...454L..73W,,Actually APJ?
BBN,Omega_baryon,0.036,0.005,0,Phys.Rev.Lett.,Burles,5,1999,118,http://adsabs.harvard.edu/abs/1999PhRvL..82.4176B,astro-ph/9901157,Parameterised value
lensing,Omega_M,0.31,0.27,-0.14,Phys.Rev.Lett.,Chae,10,2002,84,http://adsabs.harvard.edu/abs/2002PhRvL..89o1301C,astro-ph/0209602,
lensing,w_0,-0.55,0.18,-0.11,Phys.Rev.Lett.,Chae,10,2002,84,http://adsabs.harvard.edu/abs/2002PhRvL..89o1301C,astro-ph/0209602,Constrained value? Not listed as one
combined,Sigma_8,0.89,0.05,0,Phys.Rev.Lett.,Contaldi,6,2003,54,http://adsabs.harvard.edu/abs/2003PhRvL..90v1303C,astro-ph/0302435,
combined,Omega_M,0.3,0.03,0,Phys.Rev.Lett.,Contaldi,6,2003,54,http://adsabs.harvard.edu/abs/2003PhRvL..90v1303C,astro-ph/0302435,
combined,H_0,70,3,0,Phys.Rev.Lett.,Contaldi,6,2003,54,http://adsabs.harvard.edu/abs/2003PhRvL..90v1303C,astro-ph/0302435,
other,m_nu,0.26,0.2,-0.14,Phys.Rev.Lett.,Fodor,4,2002,70,http://adsabs.harvard.edu/abs/2002PhRvL..88q1101F,hep-ph/0105064,
CMB,m_nu,0.6,0,-0.6,Phys.Rev.Lett.,Fukugita,2,2000,55,http://adsabs.harvard.edu/abs/2000PhRvL..84.1082F,hep-ph/9908450,"I think this is it, but can’t find parameters"
BAO,w_0,-1.14,0.39,0,Phys.Rev.Lett.,Gaztanaga,8,2009,26,http://adsabs.harvard.edu/abs/2009PhRvL.103i1302G,0808.1921,
BAO,Omega_M,0.24,0.06,-0.05,Phys.Rev.Lett.,Gaztanaga,8,2009,26,http://adsabs.harvard.edu/abs/2009PhRvL.103i1302G,0808.1921,
SN,Sigma_8,0.79,0.22,0,Phys.Rev.Lett.,Gordon,8,2007,16,http://adsabs.harvard.edu/abs/2007PhRvL..99h1301G,0705.1718,
other,m_nu,0.65,0,-0.325,Phys.Rev.Lett.,Hannestad,11,2005,74,http://adsabs.harvard.edu/abs/2005PhRvL..95v1301H,astro-ph/0505551,
CMB,Omega_baryon,0.06,0.009,-0.008,Phys.Rev.Lett.,Jaffe,4,2001,443,http://adsabs.harvard.edu/abs/2001PhRvL..86.3475J,astro-ph/0007333,Parameterised value
BBN,Omega_baryon,0.02,0.001,0,Phys.Rev.Lett.,Kernan,5,1994,83,http://adsabs.harvard.edu/abs/1994PhRvL..72.3309K,astro-ph/9402010,"I think this is it, but can’t find values"
CMB,Omega_baryon,0.058,0.017,0,Phys.Rev.Lett.,Tegmark,9,2000,104,http://adsabs.harvard.edu/abs/2000PhRvL..85.2240T,astro-ph/0004393,Parameterised value
